"Country";"Youth_Unemployment_Rate";"Education_Expenditure";"Net_Migration";"Code";"Category";"continent";"subcontinent";"income_status"
"Bhutan";10,7;6,9;0;"BTN";"Lower middle income";"Asia";"Southern Asia";"Lower middle income"
"Honduras";10,7;6,1;-1,4;"HND";"Lower middle income";"Americas";"Latin America and the Caribbean";"Lower middle income"
"Belarus";10,6;4,8;0,7;"BLR";"Upper middle income";"Europe";"Eastern Europe";"Upper middle income"
"Malaysia";10,5;4,2;-0,3;"MYS";"Upper middle income";"Asia";"South-eastern Asia";"Upper middle income"
"Hungary";10,2;4,7;1,3;"HUN";"High income";"Europe";"Eastern Europe";"High income"
"Korea, South";10,2;4,3;2,3;"KOR";"High income";"Asia";"Eastern Asia";"High income"
"Panama";10,2;3,2;-0,1;"PAN";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Isle of Man";10,1;.;5,2;"IMN";"High income";"Europe";"Northern Europe";"High income"
"Norway";9,7;7,9;4;"NOR";"High income";"Europe";"Northern Europe";"High income"
"El Salvador";9,6;3,6;-4,8;"SLV";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Austria";9,4;5,4;3,6;"AUT";"High income";"Europe";"Western Europe";"High income"
"Denmark";9,4;7,8;2,8;"DNK";"High income";"Europe";"Northern Europe";"High income"
"Sierra Leone";9,4;7,7;-1,2;"SLE";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Ghana";9,1;4;-1,6;"GHA";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Malta";9,1;4,8;6,6;"MLT";"High income";"Europe";"Southern Europe";"High income"
"Singapore";9,1;2,9;11,8;"SGP";"High income";"Asia";"South-eastern Asia";"High income"
"Slovenia";8,8;4,8;1,5;"SVN";"High income";"Europe";"Southern Europe";"High income"
"Burkina Faso";8,7;5,4;-0,6;"BFA";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Congo, Democratic Republic of the";8,7;1,5;-0,9;"COD";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Hong Kong";8,7;3,8;1,7;"HKG";"High income";"Asia";"Eastern Asia";"High income"
"Trinidad and Tobago";8,7;.;-5,4;"TTO";"High income";"Americas";"Latin America and the Caribbean";"High income"
"United States";8,6;5;3;"USA";"High income";"Americas";"Northern America";"High income"
"Nicaragua";8,5;4,4;-2,4;"NIC";"Lower middle income";"Americas";"Latin America and the Caribbean";"Lower middle income"
"Senegal";8,1;4,8;-1,3;"SEN";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Ecuador";7,9;5;0;"ECU";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Switzerland";7,9;5,1;4,6;"CHE";"High income";"Europe";"Western Europe";"High income"
"Pakistan";7,8;2,9;-0,9;"PAK";"Lower middle income";"Asia";"Southern Asia";"Lower middle income"
"Kenya";7,4;5,3;-0,2;"KEN";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Moldova";7,4;5,4;-9;"MDA";"Upper middle income";"Europe";"Eastern Europe";"Upper middle income"
"Mozambique";7,4;5,5;-1,7;"MOZ";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Israel";7,2;6,1;2,1;"ISR";"High income";"Asia";"Western Asia";"High income"
"Netherlands";7,2;5,2;1,9;"NLD";"High income";"Europe";"Western Europe";"High income"
"Bolivia";6,9;7,3;-0,3;"BOL";"Lower middle income";"Americas";"Latin America and the Caribbean";"Lower middle income"
"Mexico";6,9;4,5;-1,9;"MEX";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"United Arab Emirates";6,9;.;7,6;"ARE";"High income";"Asia";"Western Asia";"High income"
"Vietnam";6,9;4,2;-0,3;"VNM";"Lower middle income";"Asia";"South-eastern Asia";"Lower middle income"
"Czechia";6,7;3,9;2,3;"CZE";"High income";"Europe";"Eastern Europe";"High income"
"Philippines";6,7;.;-1,8;"PHL";"Lower middle income";"Asia";"South-eastern Asia";"Lower middle income"
"Cameroon";6,3;3,1;-0,3;"CMR";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Germany";6,2;4,9;1,5;"DEU";"High income";"Europe";"Western Europe";"High income"
"Cuba";6,1;12,8;-3,7;"CUB";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Iceland";6,1;7,7;3,3;"ISL";"High income";"Europe";"Northern Europe";"High income"
"Benin";5,6;2,9;0,3;"BEN";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Palau";5,6;.;0,9;"PLW";"High income";"Oceania";"Micronesia";"High income"
"Cote d'Ivoire";5,5;3,3;1,2;"CIV";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Bahrain";5,3;2,3;10,6;"BHR";"High income";"Asia";"Western Asia";"High income"
"Macau";5,3;2,7;3,3;"MAC";"High income";"Asia";"Eastern Asia";"High income"
"Guatemala";5;3,2;-1,7;"GTM";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Tanzania";3,9;3,4;-0,4;"TZA";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Togo";3,9;5,4;0;"TGO";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Kazakhstan";3,8;2,6;0,4;"KAZ";"Upper middle income";"Asia";"Central Asia";"Upper middle income"
"Thailand";3,7;4,1;0;"THA";"Upper middle income";"Asia";"South-eastern Asia";"Upper middle income"
"Japan";3,6;3,2;0;"JPN";"High income";"Asia";"Eastern Asia";"High income"
"Papua New Guinea";3,6;1,9;0;"PNG";"Lower middle income";"Oceania";"Melanesia";"Lower middle income"
"Burundi";2,9;5,1;-0,8;"BDI";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Liberia";2,3;2,6;-2,9;"LBR";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Burma";2;1,9;-1,4;"MMR";"Lower middle income";"Asia";"South-eastern Asia";"Lower middle income"
"Solomon Islands";1,3;9,9;-1,6;"SLB";"Lower middle income";"Oceania";"Melanesia";"Lower middle income"
"Cambodia";1,1;2,2;-0,3;"KHM";"Lower middle income";"Asia";"South-eastern Asia";"Lower middle income"
"Guinea";1;2,3;0;"GIN";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Madagascar";1;2,8;0;"MDG";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Niger";0,7;3,5;-0,7;"NER";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Qatar";0,4;2,7;6,5;"QAT";"High income";"Asia";"Western Asia";"High income"
"Montserrat";.;8,8;0;"MSR";.;"Americas";"Latin America and the Caribbean";.
"Saint Vincent and the Grenadines";.;5,7;-7,2;"VCT";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Dominica";.;5,6;-5,3;"DMA";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Aruba";.;5,5;8,4;"ABW";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Uzbekistan";.;5,3;-1,9;"UZB";"Lower middle income";"Asia";"Central Asia";"Lower middle income"
"Tajikistan";.;5,2;-1,1;"TJK";"Lower middle income";"Asia";"Central Asia";"Lower middle income"
"Cook Islands";.;4,7;-29,9;"COK";.;"Oceania";"Polynesia";.
"Vanuatu";.;4,5;-1,3;"VUT";"Lower middle income";"Oceania";"Melanesia";"Lower middle income"
"Djibouti";.;3,6;5,1;"DJI";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Congo, Republic of the";.;3,5;-0,9;"COG";"Lower middle income";"Africa";"Sub-Saharan Africa";"Lower middle income"
"Andorra";.;3,2;0;"AND";"High income";"Europe";"Southern Europe";"High income"
"Grenada";.;3,2;-2,6;"GRD";"Upper middle income";"Americas";"Latin America and the Caribbean";"Upper middle income"
"Turkmenistan";.;3,1;-1,7;"TKM";"Upper middle income";"Asia";"Central Asia";"Upper middle income"
"Turks and Caicos Islands";.;2,9;8,9;"TCA";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Haiti";.;2,8;-1,9;"HTI";"Lower middle income";"Americas";"Latin America and the Caribbean";"Lower middle income"
"Liechtenstein";.;2,6;4,9;"LIE";"High income";"Europe";"Western Europe";"High income"
"Saint Kitts and Nevis";.;2,6;1,2;"KNA";"High income";"Americas";"Latin America and the Caribbean";"High income"
"British Virgin Islands";.;2,5;15,5;"VGB";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Chad";.;2,5;-0,1;"TCD";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Lebanon";.;2,5;-88,7;"LBN";"Lower middle income";"Asia";"Western Asia";"Lower middle income"
"Guinea-Bissau";.;2,1;-3,8;"GNB";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Central African Republic";.;1,2;0;"CAF";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Anguilla";.;.;11,1;"AIA";.;"Americas";"Latin America and the Caribbean";.
"Sint Maarten";.;.;6;"SXM";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Jersey";.;.;2,3;"JEY";.;"Europe";"Northern Europe";.
"Antigua and Barbuda";.;.;2,1;"ATG";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Guernsey";.;.;1,9;"GGY";.;"Europe";"Northern Europe";.
"Taiwan";.;.;0,8;"TWN";"High income";.;.;"High income"
"Equatorial Guinea";.;.;0;"GNQ";"Upper middle income";"Africa";"Sub-Saharan Africa";"Upper middle income"
"Faroe Islands";.;.;0;"FRO";"High income";"Europe";"Northern Europe";"High income"
"Korea, North";.;.;0;"PRK";"Low income";"Asia";"Eastern Asia";"Low income"
"Saint Helena, Ascension, and Tristan da Cunha";.;.;0;"SHN";.;"Africa";"Sub-Saharan Africa";.
"China";.;.;-0,4;"CHN";"Upper middle income";"Asia";"Eastern Asia";"Upper middle income"
"Sudan";.;.;-0,4;"SDN";"Low income";"Africa";"Northern Africa";"Low income"
"Saint Barthelemy";.;.;-3;"BLM";.;"Americas";"Latin America and the Caribbean";.
"Gibraltar";.;.;-3,3;"GIB";"High income";"Europe";"Southern Europe";"High income"
"Somalia";.;.;-3,8;"SOM";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Wallis and Futuna";.;.;-4,3;"WLF";.;"Oceania";"Polynesia";.
"Greenland";.;.;-6;"GRL";"High income";"Americas";"Northern America";"High income"
"Saint Martin";.;.;-6;"MAF";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Virgin Islands";.;.;-7,5;"VIR";"High income";"Americas";"Latin America and the Caribbean";"High income"
"Saint Pierre and Miquelon";.;.;-7,7;"SPM";.;"Americas";"Northern America";.
"Eritrea";.;.;-11,6;"ERI";"Low income";"Africa";"Sub-Saharan Africa";"Low income"
"Northern Mariana Islands";.;.;-15,4;"MNP";"High income";"Oceania";"Micronesia";"High income"
"Tonga";.;.;-17,9;"TON";"Upper middle income";"Oceania";"Polynesia";"Upper middle income"
"American Samoa";.;.;-26,1;"ASM";"High income";"Oceania";"Polynesia";"High income"
